"WTG_number","project_id","WTG_Type_id","Region_id","kW","hub","rotor","altitude","COD","zip_code","WGS_84_north","WGS_84_east","gauss_krueger_zone","gauss_krueger_north","gauss_krueger_east","town_id"
"V64993",19,"NM48/750","Baden-Wuerttemberg",750,70,48,NULL,"2000-11-23","89601",48.394279,9.62187,3,5362017.151,3546128.314,"Schelklingen"
"NX1103",22,"N60","Saxony",1300,69,60,NULL,"1999-09-22","04668",51.231655,12.918638,4,5677814.744,4564270.095,"Mutzschen OT Jeesewitz"
"15560899",20,"Enron TW 1","North Rhine Westfalia",1500,100,77,109,"2002-08-08","44227",51.46278,7.39794,2,5704060.685,2597195.612,"Salingen"
"V70816 (18971)",17,"NM82","Lower Saxony",1500,108,82,NULL,"2004-12-21","31604",52.406487,8.924639,3,5808135.843,3494947.415,"Harrienstedt"
"E701302",16,"E-66","Saarland",1800,86,70,NULL,"2003-07-04","66693",49.459009,6.489862,2,5480354.456,2535558.801,"Mettlach"
"V16899",10,"V80","Brandenburg",2000,100,80,NULL,"2003-03-11","15910",51.9829176510511,13.7323093414307,5,5761752.763,5413043.075,"Waldow"
"V16903",10,"V80","Brandenburg",2000,100,80,NULL,"2003-03-14","15910",51.9887982527085,13.7269020080566,5,5762413.528,5412683.049,"Waldow"
"V17651",10,"V80","Brandenburg",2000,100,80,NULL,"2003-11-27","15910",51.9767256663756,13.7157869338989,5,5761086.482,5411895.825,"Waldow"
"V16900",10,"V80","Brandenburg",2000,100,80,NULL,"2003-03-18","15910",51.9812854820247,13.735613822937,5,5761567.216,5413266.934,"Waldow"
"V16897",10,"V80","Brandenburg",2000,100,80,NULL,"2003-02-06","15910",51.9811797524254,13.7223958969116,5,5761571.325,5412358.627,"Waldow"
"V28259",11,"V90","Rhineland Pfalz",2000,105,90,466,"2007-12-27","54595",50.183529,6.329248,2,5560875.876,2523561.033,"Pittenbach"
"15550893",15,"Enron TW 1","Saxony-Anhalt",1500,96,77,122,"2002-08-02","39343",52.19191,11.39581,4,5784425.004,4458789.906,"Schackensleben"
"V14852",47,"V66","Schleswig-Holstein",1650,67,66,NULL,"2002-02-19","23623",54.00175,10.63975,4,5986515.267,4410916.444,"Ahrensbök"
"V16902",10,"V80","Brandenburg",2000,100,80,NULL,"2003-02-21","15910",51.9918703947997,13.7152183055878,5,5762769.451,5411886.528,"Waldow"
"V16898",10,"V80","Brandenburg",2000,100,80,NULL,"2003-02-21","15910",51.9862610990554,13.7250566482544,5,5762133.466,5412551.34,"Waldow"
"E78321",13,"E-70","Lower Saxony",2000,84,71,NULL,"2005-12-06","27321",52.939306,9.022111,3,5867422.362,3501563.174,"Thedinghausen"
"V16905",10,"V80","Brandenburg",2000,100,80,NULL,"2003-03-10","15910",51.9895844768808,13.7181043624878,5,5762511.621,5412080.275,"Waldow"
